trajectory,adversarial,speed_range,eta2_speed,eta2_method,eta2_speed_x_method,ratio,ratio_fixed_majority_only
circle,5%,1.0-5.0,91.43,3.5,4.61,26.1,103.1
circle,5%,1.5-2.5,62.3,29.38,6.63,2.12,1.3
circle,5%,3.0-4.0,64.48,27.81,5.48,2.32,55.2
circle,20%,1.0-5.0,58.02,11.32,30.25,5.13,88.9
circle,20%,1.5-2.5,40.69,43.86,12.32,0.93,1.5
circle,20%,3.0-4.0,19.69,67.82,11.29,0.29,37.2
circle,40%,1.0-5.0,46.68,5.46,46.99,8.56,207.5
circle,40%,1.5-2.5,6.19,86.59,2.46,0.07,4.4
circle,40%,3.0-4.0,20.12,47.58,28.11,0.42,219.2
square,5%,1.0-5.0,96.56,2.12,1.16,45.54,441.9
square,5%,1.5-2.5,90.63,5.86,2.78,15.45,86.3
square,5%,3.0-4.0,67.73,23.74,7.13,2.85,76.7
square,20%,1.0-5.0,77.71,14.43,7.58,5.38,500.5
square,20%,1.5-2.5,46.65,38.16,14.33,1.22,85.2
square,20%,3.0-4.0,26.6,67.78,4.53,0.39,61.3
square,40%,1.0-5.0,46.38,28.78,24.4,1.61,3461.5
square,40%,1.5-2.5,30.88,30.27,36.31,1.02,1729.8
square,40%,3.0-4.0,9.8,86.44,3.37,0.11,179.5
